MSSV,Brand,Quantity
22520223,Honda,10.0
22520223,Hyundai,10.0
22520223,KIA,9.5
22520223,Mazda,10.0
22520223,Mitsubishi,10.0
22520223,LandRover,5.0
22520223,Mercedes,5.0
22520223,Nissan,5.0
22520223,Peugeot,5.0
22520223,Volkswagen,5.0
22520223,Volvo,10.0
22520223,Suzuki,10.0
22520223,Toyota,10.0
22520223,VinFast,10.0
22520213,Honda,10.0
22520213,Hyundai,10.0
22520213,KIA,9.5
22520213,Mazda,10.0
22520213,Mitsubishi,10.0
22520213,LandRover,5.0
22520213,Mercedes,5.0
22520213,Nissan,5.0
22520213,Peugeot,5.0
22520213,Volkswagen,5.0
22520213,Volvo,10.0
22520213,Suzuki,10.0
22520213,Toyota,10.0
22520213,VinFast,10.0
22520348,Honda,23.33
22520348,Hyundai,16.67
22520348,KIA,16.67
22520348,Mazda,16.67
22520348,Mitsubishi,16.67
22520348,Audi,3.33
22520348,Ford,1.67
22520348,LandRover,1.67
22520348,Maybach,1.67
22520348,MG,6.67
22520348,Tesla,1.67
22520348,Volvo,1.67
22520348,Suzuki,16.67
22520348,Toyota,16.67
22520348,VinFast,16.33
22520530,Honda,23.33
22520530,Hyundai,16.67
22520530,KIA,16.67
22520530,Mazda,16.67
22520530,Mitsubishi,16.67
22520530,Audi,3.33
22520530,Ford,1.67
22520530,LandRover,1.67
22520530,Maybach,1.67
22520530,MG,6.67
22520530,Tesla,1.67
22520530,Volvo,1.67
22520530,Suzuki,16.67
22520530,Toyota,16.67
22520530,VinFast,16.33
22520837,Honda,23.33
22520837,Hyundai,16.67
22520837,KIA,16.67
22520837,Mazda,16.67
22520837,Mitsubishi,16.67
22520837,Audi,3.33
22520837,Ford,1.67
22520837,LandRover,1.67
22520837,Maybach,1.67
22520837,MG,6.67
22520837,Tesla,1.67
22520837,Volvo,1.67
22520837,Suzuki,16.67
22520837,Toyota,16.67
22520837,VinFast,16.33
22520459,Honda,45.67
22520459,Hyundai,56.67
22520459,KIA,46.33
22520459,Mazda,23.33
22520459,Mitsubishi,31.0
22520459,Suzuki,800.0
22520459,Toyota,191.33
22520459,VinFast,26.33
22520507,Honda,45.67
22520507,Hyundai,56.67
22520507,KIA,46.33
22520507,Mazda,23.33
22520507,Mitsubishi,31.0
22520507,Suzuki,800.0
22520507,Toyota,191.33
22520507,VinFast,26.33
22520862,Honda,45.67
22520862,Hyundai,56.67
22520862,KIA,46.33
22520862,Mazda,23.33
22520862,Mitsubishi,31.0
22520862,Suzuki,800.0
22520862,Toyota,191.33
22520862,VinFast,26.33
22520521,Honda,12.5
22520521,Hyundai,11.5
22520521,KIA,12.0
22520521,Mazda,12.0
22520521,Mitsubishi,12.0
22520521,Audi,12.5
22520521,Ford,12.5
22520521,Nissan,12.0
22520521,Volkswagen,12.0
22520521,Suzuki,12.0
22520521,Toyota,12.0
22520521,VinFast,12.0
22520884,Honda,12.5
22520884,Hyundai,11.5
22520884,KIA,12.0
22520884,Mazda,12.0
22520884,Mitsubishi,12.0
22520884,Audi,12.5
22520884,Ford,12.5
22520884,Nissan,12.0
22520884,Volkswagen,12.0
22520884,Suzuki,12.0
22520884,Toyota,12.0
22520884,VinFast,12.0
22520550,Honda,12.5
22520550,Mazda,10.0
22520550,Mitsubishi,7.0
22520550,Toyota,15.0
22520967,Honda,12.5
22520967,Mazda,10.0
22520967,Mitsubishi,7.0
22520967,Toyota,15.0
22520683,Honda,21.67
22520683,Hyundai,5.0
22520683,Kia,4.0
22520683,Mazda,17.67
22520683,Mitsubishi,10.33
22520683,Misubishi,4.0
22520683,Suzuki,5.33
22520683,Toyota,5.0
22520683,Vinfast,15.0
22520811,Honda,21.67
22520811,Hyundai,5.0
22520811,Kia,4.0
22520811,Mazda,17.67
22520811,Mitsubishi,10.33
22520811,Misubishi,4.0
22520811,Suzuki,5.33
22520811,Toyota,5.0
22520811,Vinfast,15.0
22521465,Honda,21.67
22521465,Hyundai,5.0
22521465,Kia,4.0
22521465,Mazda,17.67
22521465,Mitsubishi,10.33
22521465,Misubishi,4.0
22521465,Suzuki,5.33
22521465,Toyota,5.0
22521465,Vinfast,15.0
22521070,Honda,48.5
22521070,Hyundai,50.0
22521070,KIA,50.0
22521070,Mazda,50.0
22521070,Mitsubishi,50.0
22521070,Toyota,50.0
22521070,VinFast,50.0
22520211,Honda,48.5
22520211,Hyundai,50.0
22520211,KIA,50.0
22520211,Mazda,50.0
22520211,Mitsubishi,50.0
22520211,Toyota,50.0
22520211,VinFast,50.0
22521463,Honda,5.0
22521463,Hyundai,5.0
22521463,KIA,5.0
22521213,Honda,5.0
22521213,Hyundai,5.0
22521213,KIA,5.0
22521259,Honda,5.0
22521259,Hyundai,5.0
22521259,KIA,5.0
22521027,Hyundai,1.33
22520195,Hyundai,1.33
22521060,Hyundai,1.33
22521560,Huyndai,28.67
22521560,KIA,76.67
22521560,BMW,33.67
22521560,Ferrari,35.0
22521560,Toyota,122.33
22521586,Huyndai,28.67
22521586,KIA,76.67
22521586,BMW,33.67
22521586,Ferrari,35.0
22521586,Toyota,122.33
22521676,Huyndai,28.67
22521676,KIA,76.67
22521676,BMW,33.67
22521676,Ferrari,35.0
22521676,Toyota,122.33
21522924,KIA,100.0
21522924,Mazda,99.0
21522924,Mazda65,1.0
21522924,Toyota,100.0
21522924,VinFast,99.0
22520581,Toyota,100.0
